Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
1335585,,"New Orleans, La",1882,A. Hawkins,The History of Mexico and its wars ,"Frost, John , ","Hawkins, Armand, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001335585,British Library HMNTS 9771.eee.10.
1335586,,Philadelphia,1843-44,,"The Pictorial History of the United States of America, from the discovery by the Northmen in the tenth century to the present time","Frost, John , ","Croome, William",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001335586,British Library HMNTS 1447.h.10-11.
1336028,,Boston [Mass.],1850,,"The command in the Battle of Bunker Hill, with a reply to “Remarks on Frothingham's history of the battle, by S","Frothingham, Richard, ","Swett, Samuel, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001336028,British Library HMNTS 9603.d.27.
1336563,,Firenze,1865,,Della casa di Dante,"Frullani, Emilio , ","Gargani, Gargano T, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001336563,British Library HMNTS 10131.f.10.
1337251,,London,1888,Printed for private circulation,History of the parishes of East and West Ham ,"Fry, Katharine, ","Pagenstecher, G, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001337251,British Library HMNTS 10352.l.20.
1337854,,London,1844,,"The History of Sweden, translated from the original  edited by Mary Howitt","Fryxell, Anders, ","Schoultz, Anne Von, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001337854,British Library HMNTS 1437.d.6-7.
1339211,,Paderborn,1844,,"Denkmale des Landes Paderborn (Monumenta Paderbornensia) von Ferdinand Freiherrn von Fürstenberg, Fürstbischof, etc","Fuerstenberg, Ferdinand Von , ","Micus, Franz Joseph, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001339211,British Library HMNTS 9365.d.4.
1340313,,Jennings,[1813?],London,"The full particulars of the trial, execution, and dying words, of Philip Nicholson, who was executed at Maidstone, on the twenty third of August, 1813, for the murder of Mr",,"Bonar, Anne, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001340313,British Library HMNTS 1609/5905.(19.)|British Library HMNTS 1077.g.37.(4.)
1340708,,Boston [Mass.],1897,"Lamson, Wolffe & Co.",Vivian of Virginia,"Fuller, Hulbert, ","Merrill, Frank Thayer, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001340708,British Library HMNTS 012623.f.41.
1341190,,Oxford,1892,Clarendon Press,Wise Words and Quaint Counsels of Thomas Fuller,"Fuller, Thomas , ","Jessopp, Augustus, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001341190,British Library HMNTS 12273.f.22.
1341372,,London,1858,,The Countess of Bonneval; her life and letters,"Fullerton, Georgiana Charlotte , ","Bonneval, Judithe Charlotte De , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001341372,British Library HMNTS 12634.b.5.
1342159,,Mülheim a. d. Ruhr,1848,,Geschichte des Fürstenthums und der Stadt Essen ,"Funcke, Franz Philipp , ","Pfeiffer, Bertram, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001342159,British Library HMNTS 10250.d.4.
1342271,Segunda edicion corregida.,Buenos Aires,1875,,,"Funes, Gregorio, ","Zinny, Antonio, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001342271,British Library HMNTS 9772.b.7.
1342933,,Newburyport,1800,Edmund M. Blunt,The American Coast Pilot ,"Furlong, Lawrence, ","Blunt, Edmund March, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001342933,British Library HMNTS 10497.e.46.
1343408,,New York; Kegan Paul & Co,1891,I. H. Brown & Co.,"Culture, a Modern Method","Furney, Elliott E, ","White, Frank Linstow , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001343408,British Library HMNTS 012632.h.6.
1343981,,Napoli,1842,,Giunta al comento critico-archeologico sul frammento inedito di F,"Fusco, Giuseppe Maria, ","Fusco, Giovanni Vincenzo, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001343981,British Library HMNTS 10131.d.31.
1344270,,Paris,1893 [1892],,"Questions historiques, revues et complétées d'après les notes de l'auteur par C","Fustel De Coulanges, Numa Denis, ","Jullian, Camille, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001344270,British Library HMNTS 9008.i.17.
1344332,,Philadelphia,1881,L. H. Everts,"History of Chester County, Pennsylvania, with genealogical and biographical sketches","Futhey, John Smith , ","Cope, Gilbert, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001344332,British Library HMNTS 10408.k.6.
1344394,,Cork,1838,,"Futurity continued; by the author of “Emanuel,” etc",,"Colthurst, E, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001344394,British Library HMNTS 11644.d.17.
1344489,,London,1746,A. Moore,"An Ode to the Honourable H---y F--x , on the Marriage of the Du---s of M-------r  to H---s---y, Esq","F, ","Williams, Charles Hanbury , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001344489,British Library HMNTS 11602.i.14.(10.)|British Library HMNTS 11602.i.10.(9.)
1345167,,Allahabad,1894],The Morning Post,Stray Leaves,"G, ","Gordon, Arthur Niel, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001345167,British Library HMNTS 010057.f.36.|British Library OC V 2870
1345186,,Liège,1887,,Le Congo belge illustré; ou l'État indépendant du Congo ,"G, ","Gochet, Jean Baptiste, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001345186,British Library HMNTS 10097.c.25.
1345187,,Liège,1888,,Le Congo Belge illustré ,"G, ","Gochet, Jean Baptiste, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001345187,British Library HMNTS 10096.h.1.
1345188,,Liège,1890,,"Les Congolais, leurs mœurs et usages ","G, ","Gochet, Jean Baptiste, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001345188,British Library HMNTS 010096.ee.19.
1345189,,Tours,1898,,La France pittoresque du Midi ,"G, ","Gochet, Jean Baptiste, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001345189,British Library HMNTS 10174.k.4.
1345304,,London,1898,Hodder & Stoughton,With an introduction by Professor George Adam Smith,"G, ","Connor, Ralph , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001345304,British Library HMNTS 012627.g.40.
1345372,,Nantes,1861,,"Discours de la prise et ruine de Blein, advenue ","G, ","Gautier, E, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001345372,British Library HMNTS 9225.m.3.
1345542,,London,1897,Bellairs & Co.,"Great Scot, the Chaser and other sporting stories","G, ","Harper, Henry George, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001345542,British Library HMNTS 012626.e.47.
1345547,,London,1896,Bellairs & Co.,New Sporting Stories,"G, ","Harper, Henry George, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001345547,British Library HMNTS 012628.m.26.
1345557,,London,1895,Kegan Paul & Co.,Sporting Stories and Sketches,"G, ","Harper, Henry George, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001345557,British Library HMNTS 012628.f.36.
1345909,,London,[1870?],For Private Circulation,A Legend of Fyvie Castle,"G, ","Gordon, Catherine Jane Bradby , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001345909,British Library HMNTS 12630.p.4.
1345955,,London,[1878.],John F. Shaw & Co.,"Winifred; or, an English maiden in the seventeenth century","G, ","Guernsey, Lucy Ellen, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001345955,British Library HMNTS 12641.bb.3.
1346912,,Edinburgh,1843,,The Gaberlunzie's Wallet,,"Ballantine, James , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001346912,British Library HMNTS 12623.f.12.|British Library HMNTS 1457.g.3.
1347529,,Paris,1874,,Louis XVI,"Gabriel, Charles Nicolas, ","Bouillé Du Chariol, FrançOis Claude Amour De , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001347529,British Library HMNTS 9220.e.8.
1347631,,London?],1790,,"New Facts, or the White-Washer, or, the second part of Gabriel Outcast ","Gabriel, Robert Burd, ","Fungus, Ferdinando , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001347631,British Library HMNTS 11641.bb.29.|British Library HMNTS T.1057.(7.)
1350521,,Brugge,1849,,"Kronijk of tydrekenkundige beschryving der stad Brugge sedert derzelver oorsprong tot op heden, naer het achtergelaten handschrift van B","Gailliard, B, ","Gailliard, Jean Jacques , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001350521,British Library HMNTS 10270.f.13.
1350526,,Brugge,1847,,Geschiedkundige navorschingen omtrent de Kapel van het H,"Gailliard, Jean Jacques , ","Muynck, J, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001350526,British Library HMNTS 10270.f.14.
1351069,,Roma,1895,,Palazzo Farnese in Caprarola,"Gaj, Francesco , ","Guj, Enrico, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001351069,British Library HMNTS 10151.ff.7.
1351545,,Napoli,1829,,Napoli e Contorni,"Galanti, Giuseppe Maria, ","Galanti, Luigi, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001351545,British Library HMNTS 10151.d.22
1352199,,"pp. viii. 110. Constable & Co.: London, 1896",,,Songs for Little People,"Gale, Norman Rowland, ","Stratton, Helen, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001352199,British Library HMNTS 011652.g.53.
1352867,,London,1860,,The Madman of St,"Galen, Philipp , ","H, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001352867,British Library HMNTS 12630.b.5.
1353653,,Francis & John Rivington,1846,London,Galileo's dream,"Galilei, Galileo","Birch, Walter , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001353653,British Library HMNTS 1466.g.47.(3.)
1355128,,Pesth & Wien,1823,,"Allgemeine Weltkunde, oder geographisch-statistisch-historische Uebersicht aller Länder, nebst einer Skizze der ältern und neuern Geschichte","Galletti, Johann Georg August, ","Reichard, Carl, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001355128,British Library HMNTS 10002.g.1.
1356101,,Edinburgh,1812,,"Elegy on his Grace, Henry Duke of Buccleugh","Galloway, George , ","Scott, Henry , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001356101,British Library HMNTS 11641.f.25.
1356516,,Paris,1848,,"L'Espagne pittoresque, artistique et monumeatale","Galo De Cuendias, Manuel , ","Nanteuil, CéLestin, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001356516,British Library HMNTS 10160.ee.1.
1356655,,London,[1895.],Digby & Long,The End of the Run,"Galpin, B, ","Oliver, Austin, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001356655,British Library HMNTS 012628.i.21.
1357006,,London,1895,Macmillan & Co.,Annals of the Parish and the Ayrshire Legatees ,"Galt, John","Ainger, Alfred, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001357006,British Library HMNTS 012628.i.56.
1357183,,Birmingham,1887,Cornish Brothers,The character and times of Thomas Cromwell: a sixteenth century criticism,"Galton, Arthur, ","Cromwell, Thomas , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001357183,British Library HMNTS 9512.e.5.
1357795,"Segunda edição, correcta e augmentada de algumas observações, principalmente philologicas, por A. Herculano, e o Barão do Castello de Paiva.",Lisboa,1861,, Publicado por D,"Gama, Vasco Da, ","Costa Paiva, Antonio Da , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001357795,British Library HMNTS 10095.g.27.
1358433,,London,[1850.],Edward Lloyd,"The Gambler's Wife; or, Murder will out",,"Grey, Elizabeth Caroline, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001358433,British Library HMNTS 12623.f.37.|British Library HMNTS C.140.e.25.(3.)
1358435,,London,1824.],J. Lowndes,"The Gamblers, a new melo-drama, in two acts  of peculiar interest as performed ",,"Milner, Henry M, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001358435,British Library HMNTS 11779.h.13.
1359363,,Madrid,1884,,Anexion y guerra de Santo Domingo ,"GáNdara, José De La , ","MáRtos, Cristino, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001359363,British Library HMNTS 9771.ee.1.
1359871,,Lyon,1890-95,,Dictionnaire de géographie commerciale,"Ganeval, J, ","Groffier, ValéRien Philibert, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001359871,British Library HMNTS 10001.g.14.
1360120,,Paris,1889,,Voyage aux Châteaux historiques des Vosges septentrionales ,"Ganier, Henry , ","Froelich, Jules, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001360120,British Library HMNTS 10235.k.18.
1360584,,Prag,1890,,"David Gans' chronikartige Weltgeschichte unter dem Titel: Zemach David verfasst im Jahre 1593, zum ersten Male aus dem hebr","Gans, David , ","Gruenwald, Moriz, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001360584,British Library HMNTS 9008.k.3.
1362064,,Brandenburg a. H,1894,,Tägliche Aufzeichnungen des Pfarrhern J,"Garcaeus, Joachim, ","Niederstadt, Erich, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001362064,British Library HMNTS 10255.ee.11.
1362155,,London,1835?],,Begin,,"Tomlins, Frederick Guest, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001362155,British Library HMNTS 11781.e.16.
1362481,,"Madrid [printed], Paris",1877,,Viajes de Mauch y Baines al Africa del Sur redactados con sujecion á sus memorias y relaciones por ,"GarcíA Ayuso, Francisco, ","Baines, Thomas , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001362481,British Library HMNTS 10097.de.2.
1363770,,Nueva York,1869,,"Relaciones de los Vireyes del nuevo Reino de Granada; ahora Estados Unidos de Venezuela, Estados Unidos de Colombia, y Ecuador: compiladas y publicadas por ","GarcíA Y GarcíA, José Antonie, ","GóMez, Ignacio, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001363770,British Library HMNTS 9771.d.12.
1364170,,London,1791,J. Johnson,"The Botanic Garden; a poem, etc",,"Darwin, Erasmus",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001364170,British Library HMNTS 642.l.14.
1364462,,Évreux,1865,,Notice historique sur la ville de Conches,"Gardin, Alexandre, ","Lacroix, EugèNe, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001364462,British Library HMNTS 10168.i.17.
1364912,,London,1850,,Country Quarters,"Gardiner, Marguerite , ","Power, Marguerite A, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001364912,British Library HMNTS 12622.dd.29.
1366936,,London,1861,,"Recollections of General Garibaldi; or, travels from Rome to Lucerne: comprising a visit to the Mediterranean Isles of La Maddalena and Caprera","Garibaldi, Giuseppe , ","Field, Edmund , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001366936,British Library HMNTS 10151.c.22.
1368089,"Quatrième édition, précédée d'une étude sur la vie et les œuvres de l'auteur par M. Chauveau, et d'une table analytique (par M. Beng. Sulte. Notre Histoire, poésie de ... L. Fréchette).",Montréal,"1882, 83",,,"Garneau, FrançOis Xavier, ","Chauveau, Pierre Joseph Olivier, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001368089,British Library HMNTS 9555.eee.5.
1368094,"Third edition, revised.",Montreal,1866,,,"Garneau, FrançOis Xavier, ","Bell, Andrew , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001368094,British Library HMNTS 9555.e.20.
1368095,Third edition- revised.,Montreal,1874,J. Lovell,,"Garneau, FrançOis Xavier, ","Bell, Andrew , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001368095,British Library HMNTS 9555.cc.11.
1368391,,London,1854,,The Poetical Works of ,"Garnett, Afterwards Godwin, Catherine Grace, ","Wigan, Arthur Cleveland, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001368391,British Library HMNTS 11611.k.4.
1368550,,Otley,1861,Printed by Webb & Millington,North-Eastern Railway,"Garnett, Jeremiah , ","Fawkes, Francis Hawkesworth, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001368550,British Library HMNTS 10347.ee.24.(8.)
1368679,,Lübeck,1802,, Reise durch die schottischen Hochlande und einen Theil der Hebriden,"Garnett, Thomas , ","Kosegarten, Ludwig Theoboul, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001368679,British Library HMNTS 10370.c.1.|British Library MUSIC Hirsch 1413.
1369049,,Paris,1882,,De Paris au Tibet; notes de voyage,"Garnier, Marie Joseph Francis, ","Garnier, LéOn , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001369049,British Library HMNTS 10058.bb.30.
